faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),1619.5426746506987,1293.1907062146893,0.0,0.0
Gen X (1965-1980),1355.9544802807486,1325.5871458773784,0.0,564.9300000000001
Gen Z (1997-2012),859.9940687100034,1034.1396722408026,0.0,762.0855555555556
Millennials (1981-1996),1112.0475810568107,1178.5201032360533,313.15999999999997,1053.0483333333334
Nao Informado,0.0,0.0,622.28,0.0
Silent (antes 1946),1122.4857575757576,1147.7371428571428,0.0,0.0
