faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),551863.59,1255
Boomers (1946-1964),Noite (18h-22h),1247210.31,3064
Boomers (1946-1964),Tarde (12h-18h),1550677.76,3771
Gen X (1965-1980),Manha (6h-12h),2117277.93,5521
Gen X (1965-1980),Noite (18h-22h),5381790.92,14608
Gen X (1965-1980),Tarde (12h-18h),4378108.94,12297
Gen Z (1997-2012),Manha (6h-12h),641766.37,2014
Gen Z (1997-2012),Noite (18h-22h),2061301.36,6860
Gen Z (1997-2012),Tarde (12h-18h),1403152.24,4767
Millennials (1981-1996),Manha (6h-12h),3116653.68,9040
Millennials (1981-1996),Noite (18h-22h),8059847.19,24434
Millennials (1981-1996),Tarde (12h-18h),6543324.28,19963
Nao Informado,Noite (18h-22h),852.4100000000001,5
Nao Informado,Tarde (12h-18h),2258.99,2
Silent (antes 1946),Manha (6h-12h),13201.86,17
Silent (antes 1946),Noite (18h-22h),24963.489999999998,61
Silent (antes 1946),Tarde (12h-18h),31013.32,139
