faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),1503,708,0,0
Gen X (1965-1980),5984,2838,0,2
Gen Z (1997-2012),2969,1495,0,9
Millennials (1981-1996),10579,5037,1,18
Nao Informado,0,0,5,0
Silent (antes 1946),33,28,0,0
