segmento,valor,clientes
Moda,21736902.45,18045
Joalheria,6931099.95,2337
Beleza e Bem-estar,6102769.15,9484
Calçados,4067997.71,6984
Gastronomia,3064628.07,10127
Moda Feminina,2951574.7,2146
Eletrônicos,2433743.65,838
Infantil,2181408.15,4566
Casa e Decoração,2059052.6199999999,1977
Esportes,2018392.46,3587
Ótica,1752466.64,1212
Presentes e Acessórios,1393701.08,3481
Calçados Femininos,1024763.0,1787
Telefonia,818409.49,200
Eletrodomésticos,450852.64,202
Livrarias,443722.58,2509
Não informado,99156.85,144
Serviços,61720.86,814
Farmácias,31112.37,153
Lazer,23833.59,253
