genero,qtd_clientes,valor_total,pct_clientes
Feminino,19859,33419904.7,62.22076009650029
Masculino,12002,20664859.27,37.60378481686875
Nao Informado,23,22090.92,0.07206191058056835
Outro,33,29772.21,0.10339317605038068
