loja,valor,clientes
Renner,3583552.43,7475
Vivara ,2947351.38,886
Bergerson,2672251.75,76
Riachuelo,2177917.17,5324
Centauro,1682994.4100000001,3730
Havan,1522193.91,3752
C&A,1456013.6,3945
CVC,1275909.28,95
Hering,1257566.1500000001,3212
Idéli Oui,1244133.27,1483
Levi's,1010574.25,1372
Pittol,986443.8300000001,3003
Brooksfield,976867.07,601
Le Lis Blanc,857009.48,436
Life Vivara,852780.96,954
Coliseu,728123.22,207
Maze Skate,721666.01,561
Samsung,681616.01,158
Makenji,660460.34,678
IPLACE MOBILE,646179.57,169
