segmento,valor,clientes
Moda,203956.7,246
Beleza e Bem-estar,41592.12,120
Moda Feminina,37462.18,21
Joalheria,35790.3,19
Gastronomia,32654.75,186
Ótica,27731.4,10
Infantil,25277.76,62
Calçados,19778.8,47
Esportes,17135.06,34
Casa e Decoração,14807.29,25
Eletrodomésticos,10262.7,6
Presentes e Acessórios,9174.59,40
Papelaria,7012.76,52
Livrarias,5859.22,55
Eletrônicos,5540.0,6
Telefonia,3557.0,1
Supermercado,2533.14,34
Farmácias,2095.27,22
Calçados Femininos,1196.0,1
Suplementos esportivos,808.94,3
