quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,1.0,1.0,286.65,Garten Shopping
40%,5.0,2.0,476.04,Garten Shopping
60%,8.0,3.0,794.95,Garten Shopping
80%,14.0,5.0,1382.97,Garten Shopping
20%,1.0,1.0,275.5,Neumarkt Shopping
40%,5.0,2.0,485.44,Neumarkt Shopping
60%,9.0,3.0,846.88,Neumarkt Shopping
80%,15.0,5.0,1577.41,Neumarkt Shopping
20%,1.0,1.0,199.98,Norte Shopping
40%,6.0,2.0,404.83,Norte Shopping
60%,10.0,2.0,662.93,Norte Shopping
80%,15.0,4.0,1234.81,Norte Shopping
20%,1.0,1.0,211.918,Nações Shopping
40%,6.0,2.0,399.9,Nações Shopping
60%,9.0,3.0,669.518,Nações Shopping
80%,15.0,4.0,1182.0260000000005,Nações Shopping
20%,1.0,1.0,289.654,Continente Shopping
40%,6.0,2.0,490.666,Continente Shopping
60%,9.0,3.0,799.9,Continente Shopping
80%,15.0,5.0,1488.9040000000007,Continente Shopping
20%,2.0,1.0,359.9,Balneário Shopping
40%,6.0,2.0,636.624,Balneário Shopping
60%,9.0,3.0,1094.314,Balneário Shopping
80%,15.0,5.0,2083.6260000000007,Balneário Shopping
