genero,qtd_clientes,valor_total,pct_clientes
Feminino,15588,23282594.82,62.32208539900847
Masculino,9369,12631402.540000001,37.45802015032784
Nao Informado,29,16994.78,0.11594434671357748
Outro,26,28749.87,0.10395010395010396
