dia_semana,valor,transacoes
Domingo,7464412.26,29772
Quarta,3763669.42,14169
Quinta,4206881.75,15689
Sabado,7348442.58,26258
Segunda,5059403.98,18100
Sexta,4329132.4,16099
Terca,3787799.62,14192
