segmento,valor,clientes
Moda,15098123.6,15173
Gastronomia,2584447.45,7665
Beleza e Bem-estar,2433788.47,5943
Joalheria,2367348.54,1556
Casa e Decoração,2356355.59,3655
Esportes,1845875.73,3471
Calçados,1773471.3800000001,4390
Eletrônicos,1485644.4,370
Calçados Femininos,1391609.33,1459
Infantil,1193109.06,3184
Pets,531882.46,2022
Farmácias,488531.32,2259
Livrarias,439386.71,2256
Presentes e Acessórios,356809.38,740
Ótica,351955.43,449
Outros,234497.8,679
Hub da Saúde,228196.39,66
Não informado,221158.87,1303
Papelaria,215972.3,826
Eletrodomésticos,163173.67,1267
