loja,valor,clientes
Renner,666616.6,1547
Nike Unite,581565.98,1027
Vivara,499302.77999999997,161
C&A,481283.01,1193
Centauro,373582.3,799
Riachuelo,350201.66000000003,920
Claro,229394.16,61
Vivo,217786.32,33
Óticas Carol,209661.6,112
Decathlon,186377.2,581
Magazine Luiza,173309.68,61
Arezzo,170817.63,261
Empório Du Homem,167721.69,159
Carioca Calçados,165696.04,365
Brooksfield,161386.52,107
TIM ,144089.88,42
Luz da Lua,133725.62,100
iPlace Mobile,131316.45,45
Damyller ,126122.8,134
Clifield,125731.59,159
