segmento,valor,clientes
Moda,7516524.06,6983
Joalheria,2948822.77,809
Beleza e Bem-estar,1331818.69,2765
Calçados,1106779.58,1866
Moda Feminina,767768.16,514
Gastronomia,622928.94,3029
Esportes,575028.0700000001,1049
Eletrônicos,541071.3099999999,229
Casa e Decoração,509118.42,571
Ótica,409416.56,261
Infantil,400721.28,1015
Presentes e Acessórios,347227.84,925
Telefonia,326983.58,85
Calçados Femininos,302343.77999999997,437
Eletrodomésticos,148701.12,61
Livrarias,131314.94,832
Serviços,81310.71,645
Supermercado,40130.55,417
Não informado,23290.9,36
Suplementos esportivos,8333.210000000001,31
