loja,valor,clientes
Renner,193406.2,547
Havan,111369.27,398
Centauro,103177.79000000001,278
Vivara,95404.97,30
Riachuelo,95082.34,330
iPlace Mobile,87756.42,25
Livrarias Catarinense,81820.26,439
Le Lis ,75530.33,51
Kalunga,73818.36,372
Shoulder,68581.17,81
Cvc Viagens,58766.399999999994,7
Hering Store,58661.5,151
Óticas Carol,51251.86,32
Ri Happy,46285.770000000004,157
Avatim,43806.25,207
Track & Field,43705.03,70
Idéli.Oui,42174.39,64
Madero,40478.17,165
Panvel Farmácias,39370.93,224
Me.Linda,39146.6,248
