segmento,valor,clientes
Moda,654426.67,936
Joalheria,212685.68,101
Ótica,152467.03,80
Beleza e Bem-estar,125359.24,317
Calçados,104495.78,230
Telefonia,97344.76,29
Gastronomia,89433.35,576
Esportes,82451.55,201
Presentes e Acessórios,74753.92,129
Casa e Decoração,73636.56,268
Eletrônicos,70687.72,40
Moda Feminina,68368.74,62
Eletrodomésticos,47077.81,175
Serviços,26901.690000000002,417
Livrarias,24280.27,183
Papelaria,20211.3,139
Infantil,19682.4,90
Pets,16137.300000000001,100
Farmácias,15519.81,137
Lazer,1508.66,25
