dia_semana,valor,transacoes
Domingo,79547.82,471
Quarta,34437.77,216
Quinta,37177.409999999996,297
Sabado,62216.52,352
Segunda,35072.38,240
Sexta,54059.0,304
Terca,33712.57,199
