loja,valor,clientes
Polishop,6709.6,8
Idéli.oui,4996.59,3
Motorola,4789.12,3
Casas Bahia,4498.0,2
Tim,4298.0,2
Claro,4193.96,1
Polo Wear,3035.64,11
Toni Toys ,3007.84,4
Samsung,2299.01,1
Renner,2285.8,4
Celulares e Cia.,1900.0,1
Lojas Americanas,1840.41,12
Havan,909.8,6
Reis Cell,899.0,1
Riachuelo,815.94,2
O Boticário,697.65,1
Pittol,569.5,4
Cacau Show,517.7,4
Cobasi,397.24,2
Atacadão,301.47999999999996,2
