faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),3904157.99,2166867.69,0.0,7363.7
25-39 (Millennials),32702954.3,18890226.34,2023.71,57880.9
40-54 (Gen X),42206111.04,22380095.21,731.27,17590.75
55-69 (Boomers),14248899.08,7774148.69,0.0,1424.5900000000001
70+ (Silent),2390937.45,1603488.67,0.0,886.67
Nao Informado,17143.34,57209.67,0.0,0.0
