faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),5256,2995,0,3
Gen X (1965-1980),18870,10670,3,12
Gen Z (1997-2012),8695,5011,0,26
Millennials (1981-1996),30031,17187,4,53
Nao Informado,10,4,0,0
Silent (antes 1946),151,94,0,0
