segmento,valor,clientes
Moda,832004.68,1371
Joalheria,335624.52,135
Gastronomia,163078.22,1036
Telefonia,142834.16,52
Casa e Decoração,139852.37,421
Calçados,132080.91,406
Esportes,118892.27,321
Beleza e Bem-estar,108987.14,349
Serviços,99446.9,9
Moda Feminina,75559.75,97
Presentes e Acessórios,61951.18,257
Infantil,60816.68,243
Papelaria,53887.82,334
Eletrônicos,41869.35,79
Ótica,40810.270000000004,48
Livrarias,39341.84,316
Eletrodomésticos,37399.81,25
Farmácias,24459.579999999998,149
Pets,21528.54,156
Kids,273.69,3
