Metrica,High Spenders,Demais Clientes
Qtd Clientes,7819.0,70364.0
Valor Total (R$),45333861.04000001,62295208.19
Ticket Medio (R$),5797.91035170738,885.3278407992723
Freq Media Compras,8.000639467962655,3.579401398442385
Idade Media,44.552572671164974,42.08963906902125
% Feminino,65.14899603529864,64.32834972429083
% Masculino,34.81263588694206,35.58353703598431
