faixa_etaria,segmento,valor,clientes,ranking
Gen X (1965-1980),Moda,12698156.82,14811,1
Gen X (1965-1980),Joalheria,3651846.68,1763,2
Gen X (1965-1980),Calçados,2572053.92,5549,3
Gen X (1965-1980),Beleza e Bem-estar,2535065.13,6180,4
Gen X (1965-1980),Gastronomia,1769591.31,8104,5
Millennials (1981-1996),Moda,17391156.79,22846,1
Millennials (1981-1996),Joalheria,4512907.48,2308,2
Millennials (1981-1996),Beleza e Bem-estar,3437181.51,9156,3
Millennials (1981-1996),Calçados,3384818.1,8454,4
Millennials (1981-1996),Infantil,2472123.47,6545,5
Gen Z (1997-2012),Moda,4031864.47,6182,1
Gen Z (1997-2012),Beleza e Bem-estar,964321.21,2793,2
Gen Z (1997-2012),Joalheria,831640.73,677,3
Gen Z (1997-2012),Calçados,809938.07,2218,4
Gen Z (1997-2012),Gastronomia,540538.42,2988,5
Boomers (1946-1964),Moda,3416646.65,3982,1
Boomers (1946-1964),Joalheria,1136934.96,450,2
Boomers (1946-1964),Calçados,639716.9,1386,3
Boomers (1946-1964),Telefonia,537970.22,136,4
Boomers (1946-1964),Casa e Decoração,536655.38,1041,5
Nao Informado,Moda,2575.8,6,1
Nao Informado,Presentes e Acessórios,974.4,2,2
Nao Informado,Gastronomia,482.31,3,3
Nao Informado,Calçados,459.93000000000006,1,4
Nao Informado,Beleza e Bem-estar,457.9,3,5
Silent (antes 1946),Moda,74886.48,96,1
Silent (antes 1946),Joalheria,40064.68,11,2
Silent (antes 1946),Calçados,34215.259999999995,35,3
Silent (antes 1946),Serviços,29828.2,6,4
Silent (antes 1946),Eletrônicos,24477.2,5,5
