dia_semana,valor,transacoes
Domingo,4079622.0,11938
Quarta,2295199.74,5174
Quinta,2183970.28,5363
Sabado,4299923.34,11441
Segunda,2280336.04,5689
Sexta,2212579.22,6204
Terca,2147069.59,4964
