segmento,valor,clientes
Moda,7298561.22,8567
Joalheria,2668341.28,873
Calçados,1653962.8,3035
Gastronomia,954932.0599999999,4381
Esportes,941678.15,1869
Telefonia,875739.05,272
Beleza e Bem-estar,737787.28,1793
Casa e Decoração,719984.11,1818
Eletrônicos,644969.91,336
Serviços,476692.25,795
Moda Feminina,465601.04,625
Presentes e Acessórios,440265.81,1648
Ótica,389998.14,292
Infantil,333839.06,1140
Eletrodomésticos,244791.76,104
Farmácias,194312.38999999998,917
Livrarias,134200.56,1034
Papelaria,115659.31,754
Pets,103510.45,581
Kids,32018.38,255
