segmento,valor,clientes
Moda,1871506.45,2701
Joalheria,784106.92,425
Beleza e Bem-estar,625369.66,1713
Calçados,549478.53,1080
Gastronomia,461003.61,2211
Casa e Decoração,446198.2,1016
Moda Feminina,387568.75,505
Telefonia,333235.74,96
Esportes,290544.21,626
Ótica,286865.3,157
Eletrônicos,176239.01,131
Presentes e Acessórios,168584.82,376
Serviços,165885.93,452
Livrarias,119798.19,765
Infantil,119794.7,381
Eletrodomésticos,67752.57,666
Papelaria,58648.4,382
Farmácias,51827.71,396
Pets,44153.89,230
Gastronomia - Restaurante,15149.0,49
