genero,qtd_clientes,valor_total,pct_clientes
Feminino,4232,4839762.93,68.09332260659694
Masculino,1976,2190777.5,31.794046661303298
Nao Informado,4,3533.44,0.06436041834271923
Outro,3,853.2099999999999,0.04827031375703942
