segmento,valor,clientes
Moda,1019119.38,1601
Gastronomia,316101.51,1433
Beleza e Bem-estar,281298.21,925
Casa e Decoração,271091.55,763
Joalheria,236161.25,153
Eletrônicos,189015.1,101
Calçados,185023.08,523
Esportes,170886.57,444
Moda Feminina,158959.63,185
Ótica,120371.51000000001,89
Presentes e Acessórios,109166.39,262
Livrarias,107234.06,569
Telefonia,105097.25,32
Papelaria,98208.76,493
Infantil,75376.94,243
Serviços,69097.4,374
Farmácias,61548.57,322
Pets,47995.3,222
Eletrodomésticos,33983.12,379
Salão de Beleza | Barbearia,5515.0,18
