dia_semana,valor,transacoes
Domingo,812974.07,3629
Quarta,382675.57,1792
Quinta,544002.69,2510
Sabado,846134.1,3365
Segunda,288010.34,1588
Sexta,563651.85,2478
Terca,228658.87,1222
