quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,5.0,1.0,332.87,Global
40%,11.0,2.0,539.7,Global
60%,18.0,3.0,879.9300000000001,Global
80%,22.0,4.0,1598.7780000000005,Global
