quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,4.0,1.0,330.798,Neumarkt Shopping
40%,9.0,2.0,549.0,Neumarkt Shopping
60%,16.0,3.0,902.822,Neumarkt Shopping
80%,22.0,5.0,1670.8920000000005,Neumarkt Shopping
20%,5.0,1.0,332.28999999999996,Garten Shopping
40%,11.0,2.0,512.372,Garten Shopping
60%,18.0,3.0,833.78,Garten Shopping
80%,22.0,4.0,1481.5960000000002,Garten Shopping
20%,6.0,1.0,319.99,Continente Shopping
40%,12.0,2.0,499.95000000000005,Continente Shopping
60%,18.0,3.0,799.5939999999999,Continente Shopping
80%,22.0,4.0,1402.7120000000002,Continente Shopping
20%,6.0,1.0,309.96,Norte Shopping
40%,12.400000000000091,1.0,459.994,Norte Shopping
60%,19.0,2.0,731.2040000000001,Norte Shopping
80%,23.0,4.0,1327.6600000000003,Norte Shopping
20%,5.0,1.0,389.97400000000005,Balneário Shopping
40%,11.0,2.0,682.25,Balneário Shopping
60%,17.0,3.0,1129.868,Balneário Shopping
80%,22.0,4.0,2099.626,Balneário Shopping
20%,5.0,1.0,294.28000000000003,Nações Shopping
40%,11.0,2.0,452.59200000000004,Nações Shopping
60%,18.0,2.0,729.784,Nações Shopping
80%,22.0,4.0,1261.018,Nações Shopping
