perfil_cliente,qtd_clientes,valor_total,frequencia_media,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,pct_clientes,pct_valor
VIP,2145,4821464.57,8.7990675990676,4.452680652680653,4.792540792540793,4.5286713286713285,13.773892773892774,2247.7690303030304,13.44,29.76
Premium,4604,6690993.74,4.400521285838401,3.2454387489139878,3.8457862728062553,3.7982189400521285,10.889443961772372,1453.3001172893137,28.84,41.31
Potencial,5854,3970287.98,2.116330714041681,2.829347454731807,2.517082336863683,2.63631704817219,7.98274683976768,678.2179672019132,36.67,24.51
Pontual,3361,715954.84,1.2409997024695032,2.0351085986313597,1.537340077357929,1.5632252305861352,5.135673906575424,213.0183992859268,21.05,4.42
