quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,21.0,1.0,183.802,Neumarkt Shopping
40%,26.0,2.0,389.89599999999996,Neumarkt Shopping
60%,27.0,3.0,657.408,Neumarkt Shopping
80%,28.0,5.0,1206.5679999999998,Neumarkt Shopping
20%,21.0,1.0,181.784,Garten Shopping
40%,26.0,2.0,371.356,Garten Shopping
60%,27.0,3.0,635.8100000000001,Garten Shopping
80%,28.0,5.0,1245.4179999999992,Garten Shopping
20%,19.0,1.0,124.0,Nações Shopping
40%,26.0,2.0,314.4,Nações Shopping
60%,27.0,3.0,514.3,Nações Shopping
80%,28.0,4.0,929.93,Nações Shopping
20%,18.0,1.0,179.95,Continente Shopping
40%,26.0,2.0,384.88,Continente Shopping
60%,27.0,3.0,665.98,Continente Shopping
80%,28.0,6.0,1245.98,Continente Shopping
20%,23.0,1.0,263.238,Balneário Shopping
40%,26.0,2.0,514.672,Balneário Shopping
60%,27.0,3.0,937.3119999999999,Balneário Shopping
80%,29.0,5.0,1861.592,Balneário Shopping
20%,19.0,1.0,132.75199999999998,Norte Shopping
40%,26.0,2.0,324.4,Norte Shopping
60%,27.0,3.0,576.5479999999999,Norte Shopping
80%,28.0,5.0,1066.634,Norte Shopping
