loja,valor,clientes
Renner,1567241.66,3322
Cassol Centerlar,1033861.55,1017
Vivara,989339.49,499
Samsung,841401.49,224
Luz da Lua,809446.21,934
Riachuelo,798224.83,2155
C&A,769432.21,2290
Centauro,558296.47,1238
Empório Du Homem,528193.63,305
Pittol,376905.55,1210
Colcci,359726.47000000003,295
Békko,355166.66,394
Ri Happy,340333.68,1156
Beagle,329097.04000000004,600
FATIMA ESPORTES,329042.89,572
Youcom,321914.6,757
Damyller,305549.45,370
Arezzo,304701.93,533
Calvin Klein e Tommy Hilfiger,300386.7,396
Cobasi,292818.74,1282
