faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),1768,872,0,7
25-39 (Millennials),9685,5005,2,14
40-54 (Gen X),8577,4240,0,4
55-69 (Boomers),2419,1298,1,0
70+ (Silent),323,205,0,0
Nao Informado,12,7,15,0
