segmento,valor,clientes
Moda,1375105.21,1515
Joalheria,553055.26,197
Beleza e Bem-estar,315906.72000000003,727
Calçados,300036.51,451
Moda Feminina,205936.59,149
Infantil,104941.76000000001,290
Gastronomia,94701.24,568
Eletrônicos,89452.95,42
Telefonia,65115.0,17
Casa e Decoração,64546.84,91
Ótica,55565.87,56
Presentes e Acessórios,50935.27,170
Eletrodomésticos,49665.27,27
Esportes,48329.28,93
Papelaria,24900.68,100
Livrarias,21250.46,169
Supermercado,8015.59,103
Suplementos esportivos,3198.91,4
Gastronomia - Restaurante,855.0,14
Lazer,444.0,10
