faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,10660667.63,12450,1
Millennials (1981-1996),Joalheria,3577096.56,1284,2
Millennials (1981-1996),Calçados,2034063.12,4117,3
Millennials (1981-1996),Beleza e Bem-estar,1774526.2,4461,4
Millennials (1981-1996),Gastronomia,1274784.39,6879,5
Gen Z (1997-2012),Moda,2301012.72,3230,1
Gen Z (1997-2012),Beleza e Bem-estar,508356.7,1427,2
Gen Z (1997-2012),Joalheria,476578.28,310,3
Gen Z (1997-2012),Calçados,437296.43,922,4
Gen Z (1997-2012),Gastronomia,285045.0,1627,5
Gen X (1965-1980),Moda,6643116.86,7524,1
Gen X (1965-1980),Joalheria,2113963.31,812,2
Gen X (1965-1980),Calçados,1346888.16,2494,3
Gen X (1965-1980),Beleza e Bem-estar,1120803.6,2824,4
Gen X (1965-1980),Gastronomia,844071.89,4179,5
Boomers (1946-1964),Moda,1575547.93,1911,1
Boomers (1946-1964),Joalheria,721695.61,167,2
Boomers (1946-1964),Serviços,477388.92,135,3
Boomers (1946-1964),Calçados,382633.51,667,4
Boomers (1946-1964),Telefonia,291923.91,96,5
Silent (antes 1946),Moda,43441.590000000004,49,1
Silent (antes 1946),Eletrônicos,18177.7,7,2
Silent (antes 1946),Joalheria,17881.0,4,3
Silent (antes 1946),Calçados,12037.02,20,4
Silent (antes 1946),Moda Feminina,9209.1,5,5
Nao Informado,Eletrônicos,6698.0,1,1
Nao Informado,Moda,1163.54,4,2
Nao Informado,Esportes,788.94,1,3
Nao Informado,Ótica,350.0,1,4
Nao Informado,Gastronomia,344.4,3,5
