shopping_principal,qtd_clientes,valor_total,ticket_medio,clientes_vip_historico,clientes_vip_periodo,high_spenders,pct_valor
Balneário Shopping,28217,58476913.45,581.0437998341272,5421,7852,3997,28.45
Garten Shopping,24968,38222281.99,501.4858969045176,3143,4802,2136,18.59
Continente Shopping,25191,37515786.2,481.3451109152368,2772,4762,2102,18.25
Neumarkt Shopping,19320,36762026.37,491.0677531458448,3783,4841,2446,17.88
Nações Shopping,14448,17803210.55,453.0123445177981,1027,2177,861,8.66
Norte Shopping,12506,16780811.96,608.4443376041507,1139,2242,923,8.16
