quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,7.0,1.0,372.14000000000016,Global
40%,14.0,2.0,659.8,Global
60%,28.0,3.0,1111.0699999999997,Global
80%,95.0,6.0,2123.1680000000047,Global
