quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,8.0,1.0,359.8,Garten Shopping
40%,13.0,2.0,625.926,Garten Shopping
60%,26.0,3.0,1036.0359999999998,Garten Shopping
80%,144.0,6.0,1944.5140000000022,Garten Shopping
20%,6.0,1.0,382.906,Neumarkt Shopping
40%,11.0,2.0,708.23,Neumarkt Shopping
60%,21.0,4.0,1235.126,Neumarkt Shopping
80%,48.0,8.0,2474.0600000000004,Neumarkt Shopping
20%,8.0,1.0,334.88,Nações Shopping
40%,16.0,2.0,569.328,Nações Shopping
60%,37.0,3.0,900.0659999999997,Nações Shopping
80%,106.0,5.0,1612.5880000000004,Nações Shopping
20%,7.0,1.0,369.7,Continente Shopping
40%,14.0,2.0,639.5,Continente Shopping
60%,28.0,4.0,1049.8,Continente Shopping
80%,101.0,6.0,1914.3799999999999,Continente Shopping
20%,7.0,1.0,423.0,Balneário Shopping
40%,12.0,2.0,793.576,Balneário Shopping
60%,24.0,4.0,1373.0,Balneário Shopping
80%,44.0,6.0,2719.9800000000005,Balneário Shopping
20%,9.0,1.0,358.73,Norte Shopping
40%,24.0,2.0,620.14,Norte Shopping
60%,78.0,3.0,979.39,Norte Shopping
80%,108.0,5.0,1848.68,Norte Shopping
