shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Nações Shopping,VIP,9,Calçados Femininos,210661.86,4.11,228,161
Nações Shopping,VIP,10,Infantil,153147.35,2.99,663,314
Neumarkt Shopping,Premium,1,Moda,2086393.71,37.02,5288,2442
Neumarkt Shopping,Premium,2,Beleza e Bem-estar,564990.8,10.03,2243,1352
Neumarkt Shopping,Premium,3,Joalheria,552671.15,9.81,517,428
Neumarkt Shopping,Premium,4,Casa e Decoração,444343.59,7.89,1506,967
Neumarkt Shopping,Premium,5,Calçados,434719.92,7.71,1292,963
Neumarkt Shopping,Premium,6,Ótica,367407.28,6.52,267,222
Neumarkt Shopping,Premium,7,Gastronomia,333178.29,5.91,3801,1488
Neumarkt Shopping,Premium,8,Telefonia,290542.58,5.16,126,101
Neumarkt Shopping,Premium,9,Presentes e Acessórios,286150.6,5.08,578,469
Neumarkt Shopping,Premium,10,Esportes,274822.35000000003,4.88,821,650
Neumarkt Shopping,VIP,1,Moda,5487706.5,33.49,12044,3214
Neumarkt Shopping,VIP,2,Joalheria,2611563.41,15.94,1369,950
Neumarkt Shopping,VIP,3,Beleza e Bem-estar,1406834.46,8.59,5084,2101
Neumarkt Shopping,VIP,4,Gastronomia,1291150.84,7.88,15633,2395
Neumarkt Shopping,VIP,5,Telefonia,1063196.39,6.49,339,221
Neumarkt Shopping,VIP,6,Eletrônicos,991779.97,6.05,525,402
Neumarkt Shopping,VIP,7,Serviços,953235.91,5.82,1743,710
Neumarkt Shopping,VIP,8,Casa e Decoração,884512.61,5.4,3192,1510
Neumarkt Shopping,VIP,9,Moda Feminina,849496.37,5.18,978,583
Neumarkt Shopping,VIP,10,Ótica,846183.31,5.16,458,363
Norte Shopping,Premium,1,Eletrodomésticos,869219.63,24.66,738,515
Norte Shopping,Premium,2,Moda,625814.53,17.75,1778,947
Norte Shopping,Premium,3,Casa e Decoração,539190.82,15.3,941,616
Norte Shopping,Premium,4,Eletrônicos,433564.01,12.3,190,174
Norte Shopping,Premium,5,Telefonia,250653.84,7.11,107,87
Norte Shopping,Premium,6,Beleza e Bem-estar,206430.61000000002,5.86,935,588
Norte Shopping,Premium,7,Supermercado,182484.1,5.18,932,374
Norte Shopping,Premium,8,Calçados,154660.06,4.39,549,350
Norte Shopping,Premium,9,Esportes,141485.51,4.01,387,325
Norte Shopping,Premium,10,Serviços,121544.3,3.45,354,220
Norte Shopping,VIP,1,Eletrônicos,806256.46,16.08,236,196
Norte Shopping,VIP,2,Moda,778094.98,15.52,2580,968
Norte Shopping,VIP,3,Eletrodomésticos,776154.4,15.48,1171,501
Norte Shopping,VIP,4,Serviços,581649.04,11.6,666,350
Norte Shopping,VIP,5,Casa e Decoração,559525.64,11.16,1395,617
Norte Shopping,VIP,6,Supermercado,385459.89,7.69,1946,477
Norte Shopping,VIP,7,Telefonia,335448.16,6.69,105,79
Norte Shopping,VIP,8,Beleza e Bem-estar,283594.84,5.66,1313,678
Norte Shopping,VIP,9,Joalheria,261481.93,5.22,256,181
Norte Shopping,VIP,10,Gastronomia,246073.28,4.91,4385,784
