faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),27839.19,101
Boomers (1946-1964),Noite (18h-22h),71332.48,205
Boomers (1946-1964),Tarde (12h-18h),108420.19,329
Gen X (1965-1980),Manha (6h-12h),193357.36,809
Gen X (1965-1980),Noite (18h-22h),486560.01,1810
Gen X (1965-1980),Tarde (12h-18h),449935.68,2163
Gen Z (1997-2012),Manha (6h-12h),45642.9,270
Gen Z (1997-2012),Noite (18h-22h),190576.07,937
Gen Z (1997-2012),Tarde (12h-18h),138865.57,812
Millennials (1981-1996),Manha (6h-12h),269376.51,1381
Millennials (1981-1996),Noite (18h-22h),893784.36,3758
Millennials (1981-1996),Tarde (12h-18h),818768.6,3895
Nao Informado,Noite (18h-22h),488.9,2
Silent (antes 1946),Manha (6h-12h),1312.32,5
Silent (antes 1946),Noite (18h-22h),699.97,1
Silent (antes 1946),Tarde (12h-18h),3651.01,7
