persona,qtd_clientes,valor_total,ticket_medio,freq_media,idade_media,pct_clientes,pct_valor
Cliente Regular,3498,2825013.66,251.5686084113491,3.9039451114922814,39.412135088723524,82.94996442968935,76.33911179513507
Senior Tradicional,339,303794.75,509.90028662733533,2.0855457227138645,62.29498525073746,8.038890206307801,8.209313006658208
Comprador Seletivo,51,250948.67,3807.9429738562094,1.3333333333333333,39.88235294117647,1.2093905620109082,6.781276439551963
Jovem Explorer,271,104806.25,231.36431119311192,1.8523985239852399,22.830258302583026,6.4263694569599235,2.832133574737785
Executivo Exigente,16,83103.03,188.92921294899935,28.9375,41.625,0.379416646905383,2.245656928145425
Mae Moderna,22,73971.49,107.9681578042941,35.54545454545455,42.63636363636363,0.5216978894949016,1.9988993061232547
Jovem Engajado,18,34747.55,154.26819831706962,14.333333333333334,22.0,0.42684372776855584,0.9389678859312297
Senior VIP,2,24225.719999999998,470.90535714285716,24.5,59.0,0.04742708086317288,0.6546410637170651
