sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
BS,Gen X (1965-1980),502,18.26783114992722,711928.6000000001
BS,Gen Z (1997-2012),650,23.653566229985444,713785.12
BS,Millennials (1981-1996),1529,55.640465793304216,1732666.9100000001
BS,Boomers (1946-1964),58,2.1106259097525473,82847.98000000001
BS,Nao Informado,9,0.32751091703056767,12418.06
CS,Gen X (1965-1980),468,19.71356360572873,896974.4
CS,Millennials (1981-1996),1402,59.0564448188711,2287237.3400000003
CS,Gen Z (1997-2012),407,17.144060657118786,550260.1499999999
CS,Boomers (1946-1964),86,3.6225779275484413,152332.84999999998
CS,Nao Informado,8,0.33698399326032014,4056.6600000000003
CS,Silent (antes 1946),3,0.12636899747262004,1826.96
NK,Millennials (1981-1996),1392,53.37423312883436,1700251.2200000002
NK,Gen Z (1997-2012),516,19.78527607361963,472456.32000000007
NK,Gen X (1965-1980),590,22.62269938650307,1106154.56
NK,Boomers (1946-1964),97,3.7193251533742333,162853.03999999998
NK,Nao Informado,8,0.3067484662576687,3994.1700000000005
NK,Silent (antes 1946),5,0.19171779141104295,12086.07
GS,Millennials (1981-1996),1474,57.19829258828095,1194584.1400000001
GS,Gen Z (1997-2012),647,25.106713232440825,481220.9
GS,Gen X (1965-1980),394,15.289095847885136,352905.87
GS,Boomers (1946-1964),51,1.979045401629802,46890.64
GS,Nao Informado,9,0.3492433061699651,2770.1499999999996
GS,Silent (antes 1946),2,0.07760962359332557,1068.8400000000001
NR,Gen Z (1997-2012),344,23.07176391683434,324998.96
NR,Millennials (1981-1996),816,54.72837022132797,1032637.0900000001
NR,Gen X (1965-1980),294,19.718309859154928,449214.99
NR,Boomers (1946-1964),33,2.2132796780684103,39682.42
NR,Silent (antes 1946),2,0.1341381623071764,2315.07
NR,Nao Informado,2,0.1341381623071764,899.95
NS,Gen X (1965-1980),246,15.481434864694776,324957.9
NS,Millennials (1981-1996),882,55.50660792951542,882362.7
NS,Gen Z (1997-2012),429,26.998112020138453,357126.39
NS,Boomers (1946-1964),25,1.5733165512901195,22712.15
NS,Nao Informado,6,0.3775959723096287,2643.7299999999996
NS,Silent (antes 1946),1,0.06293266205160479,849.37
