sigla,genero,qtd_clientes,pct_clientes,valor_total
CS,Masculino,759,27.62008733624454,874705.01
CS,Feminino,1971,71.72489082969432,2356332.31
CS,Nao Informado,11,0.4002911208151383,13829.56
CS,Outro,7,0.2547307132459971,8779.79
BS,Feminino,1815,76.45324347093513,2998324.6500000004
BS,Masculino,548,23.08340353833193,887113.55
BS,Nao Informado,6,0.2527379949452401,3538.76
BS,Outro,5,0.21061499578770007,3711.4
NK,Masculino,701,26.878834355828218,824904.51
NK,Feminino,1895,72.66104294478528,2623327.8999999994
NK,Nao Informado,8,0.3067484662576687,4125.56
NK,Outro,4,0.15337423312883436,5437.41
NR,Masculino,788,30.578191695770272,663772.94
NR,Feminino,1780,69.07256499805976,1414171.2499999998
NR,Nao Informado,7,0.2716336825766395,1132.15
NR,Outro,2,0.07760962359332557,364.19999999999993
GS,Feminino,1094,73.37357478202549,1402246.23
GS,Masculino,394,26.42521797451375,446485.39999999997
GS,Nao Informado,2,0.1341381623071764,899.95
GS,Outro,1,0.0670690811535882,116.9
NS,Feminino,1098,69.10006293266206,1118404.62
NS,Masculino,480,30.207677784770297,465877.43
NS,Nao Informado,8,0.5034612964128383,3349.7299999999996
NS,Outro,3,0.18879798615481436,3020.46
