shopping,sigla,transacoes,clientes,valor_total,ticket_medio,idade_media,threshold_hs,qtd_high_spenders
Balneário Shopping,BS,19398,2748,3253646.67,1184.0053384279477,36.675358060962175,2840.3550000000005,275
Continente Shopping,CS,13833,2374,3892688.3599999994,1639.7170850884581,38.443456162642946,4118.7300000000005,238
Neumarkt Shopping,NK,21301,2608,3457795.38,1325.8417868098159,38.65071401003473,3283.104000000003,261
Garten Shopping,GS,13133,2577,2079440.54,806.9229879705083,36.01451549627305,1916.4720000000002,258
Norte Shopping,NR,10835,1491,1849748.48,1240.609309188464,37.36253369272237,3047.0899999999997,150
Nações Shopping,NS,10033,1589,1590652.2400000002,1001.0397986154816,35.48284625158831,2435.708,159
