faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),94904.53,413
Boomers (1946-1964),Noite (18h-22h),204851.64,874
Boomers (1946-1964),Tarde (12h-18h),207562.91,1025
Gen X (1965-1980),Manha (6h-12h),628520.51,3256
Gen X (1965-1980),Noite (18h-22h),1612775.7,8013
Gen X (1965-1980),Tarde (12h-18h),1600840.11,8827
Gen Z (1997-2012),Manha (6h-12h),367132.01,2019
Gen Z (1997-2012),Noite (18h-22h),1459413.08,8197
Gen Z (1997-2012),Tarde (12h-18h),1073302.75,7379
Millennials (1981-1996),Manha (6h-12h),1329421.67,6675
Millennials (1981-1996),Noite (18h-22h),3891827.93,20350
Millennials (1981-1996),Tarde (12h-18h),3608489.8,21259
Nao Informado,Manha (6h-12h),2692.09,18
Nao Informado,Noite (18h-22h),13308.289999999999,60
Nao Informado,Tarde (12h-18h),10782.34,113
Silent (antes 1946),Manha (6h-12h),3296.75,22
Silent (antes 1946),Noite (18h-22h),3717.1600000000003,13
Silent (antes 1946),Tarde (12h-18h),11132.4,20
