segmento,valor,clientes
Moda,1440731.08,1964
Joalheria,480357.6,304
Beleza e Bem-estar,302145.27,798
Calçados,298271.66,640
Moda Feminina,224827.9,224
Ótica,212931.69,103
Gastronomia,205849.3,1030
Presentes e Acessórios,194858.56,295
Casa e Decoração,192426.79,586
Esportes,166334.34,391
Telefonia,118593.32,42
Eletrônicos,90622.81,69
Serviços,87058.35,4
Livrarias,55440.05,363
Papelaria,48596.72,300
Infantil,47584.03,198
Pets,41625.46,188
Farmácias,41122.6,246
Eletrodomésticos,25659.68,283
Lazer,2203.57,35
