faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),658,346,0,2
Gen X (1965-1980),3100,1594,0,11
Gen Z (1997-2012),1517,750,3,6
Millennials (1981-1996),5628,2803,1,11
Nao Informado,1,4,1,0
Silent (antes 1946),23,10,0,0
