shopping,sigla,transacoes,clientes,valor_total,ticket_medio,idade_media,threshold_hs,qtd_high_spenders
Balneário Shopping,BS,11891,2321,2813512.1799999997,1212.198267987936,41.50560344827586,2763.33,233
Continente Shopping,CS,9230,2123,3338730.0300000003,1572.64721149317,41.8827131417805,3680.16,213
Neumarkt Shopping,NK,12059,2502,3274302.9299999997,1308.6742326139088,43.205117952818874,3034.824,251
Garten Shopping,GS,9534,3315,3704146.3099999996,1117.3895354449471,40.42598187311178,2399.54,332
Norte Shopping,NR,13671,3369,4014282.19,1191.535230038587,41.46121842496285,2588.3320000000003,337
Nações Shopping,NS,11864,3328,3442523.5600000005,1034.4121274038464,39.659951894167165,2117.601,333
