genero,segmento,valor,clientes,ranking
Feminino,Moda,4842597.47,6088,1
Feminino,Beleza e Bem-estar,944204.89,2528,2
Feminino,Joalheria,917856.12,543,3
Feminino,Casa e Decoração,853755.0,1727,4
Feminino,Calçados,827793.8,1842,5
Masculino,Moda,2345242.75,2644,1
Masculino,Eletrônicos,624790.82,191,2
Masculino,Joalheria,582373.32,249,3
Masculino,Casa e Decoração,439027.33,720,4
Masculino,Esportes,393719.68,772,5
Outro,Moda,7628.660000000001,13,1
Outro,Ótica,3688.86,2,2
Outro,Casa e Decoração,3357.2999999999997,4,3
Outro,Beleza e Bem-estar,3054.5,5,4
Outro,Eletrônicos,2478.9,4,5
Nao Informado,Moda,1164.53,2,1
Nao Informado,Calçados,828.8,1,2
Nao Informado,Beleza e Bem-estar,129.4,1,3
Nao Informado,Gastronomia,126.0,2,4
Nao Informado,Farmácias,43.97,1,5
