sigla,segmento,valor,clientes
CS,Moda,1063436.09,1378
CS,Gastronomia,220051.13999999998,896
CS,Esportes,198789.57,447
CS,Calçados,176289.88,453
CS,Joalheria,165495.34,81
CS,Beleza e Bem-estar,155285.17,510
CS,Telefonia,147320.4,40
CS,Eletrodomésticos,114992.53,301
CS,Eletrônicos,114323.5,35
CS,Ótica,110895.21,76
CS,Moda Feminina,71960.96,125
CS,Infantil,64327.53,195
CS,Casa e Decoração,33560.229999999996,119
CS,Pets,31015.09,141
CS,Papelaria,29993.05,200
CS,Livrarias,27076.12,175
CS,Farmácias,23670.51,205
CS,Presentes e Acessórios,23627.45,107
CS,Serviços,23162.6,305
CS,Vestuário feminino,13532.710000000001,21
BS,Moda,1405977.27,1297
BS,Joalheria,302649.2,107
BS,Beleza e Bem-estar,292416.88,622
BS,Calçados,232461.66,344
BS,Moda Feminina,161373.18,121
BS,Gastronomia,154890.61,680
BS,Infantil,147063.89,352
BS,Ótica,135891.53,99
BS,Esportes,100051.49,218
BS,Eletrônicos,92975.52,41
BS,Casa e Decoração,66082.26,114
BS,Presentes e Acessórios,57579.76,194
BS,Telefonia,46467.0,9
BS,Eletrodomésticos,35236.89,16
BS,Papelaria,32710.239999999998,177
BS,Livrarias,26308.46,203
BS,Serviços,17980.39,354
BS,Supermercado,12278.56,145
BS,Calçados Femininos,9460.85,5
BS,Farmácias,5476.42,50
NK,Moda,1107456.96,1396
NK,Joalheria,304049.51,160
NK,Ótica,235044.77,120
NK,Beleza e Bem-estar,199886.13,493
NK,Gastronomia,190054.46,852
NK,Calçados,186165.3,408
NK,Casa e Decoração,151682.59,485
NK,Esportes,129927.74,318
NK,Eletrônicos,120717.74,70
NK,Moda Feminina,119009.17,110
NK,Telefonia,115579.76,37
NK,Presentes e Acessórios,108815.58,209
NK,Eletrodomésticos,76877.8,286
NK,Livrarias,46167.4,298
NK,Infantil,44959.94,170
NK,Papelaria,38371.87,259
NK,Pets,34300.71,170
NK,Serviços,30913.89,467
NK,Farmácias,30339.54,211
NK,Lazer,3357.07,53
NR,Moda,669978.65,1131
NR,Casa e Decoração,639037.73,810
NR,Eletrodomésticos,473148.19,442
NR,Eletrônicos,384205.07,128
NR,Telefonia,209257.55,99
NR,Esportes,199908.42,380
NR,Calçados,190755.66,462
NR,Supermercado,187890.99,421
NR,Beleza e Bem-estar,185579.87,583
NR,Serviços,116102.75,450
NR,Joalheria,97951.33,122
NR,Gastronomia,86186.47,578
NR,Outros,65466.99,39
NR,Infantil,45711.76,165
NR,Papelaria,45629.270000000004,159
NR,Ótica,40441.81,57
NR,Pets,29902.89,186
NR,Livrarias,19311.04,133
NR,Presentes e Acessórios,13907.3,91
NR,Gastronomia - Sorvetes,2398.17,74
GS,Moda,1631326.29,2045
GS,Joalheria,357824.43,179
GS,Esportes,241972.44,505
GS,Calçados,238121.19,539
GS,Gastronomia,205630.89,1111
GS,Casa e Decoração,188829.59,562
GS,Beleza e Bem-estar,162081.13,421
GS,Ótica,158356.64,129
GS,Serviços,140593.36,431
GS,Eletrônicos,132566.76,80
GS,Telefonia,112054.56,58
GS,Moda Feminina,100617.54,79
GS,Presentes e Acessórios,78183.62,321
GS,Infantil,75575.32,299
GS,Farmácias,49700.55,294
GS,Eletrodomésticos,37436.8,24
GS,Papelaria,33562.51,253
GS,Livrarias,28507.5,240
GS,Pets,22257.79,171
GS,Lazer,9040.74,23
NS,Moda,1318458.15,1631
NS,Eletrônicos,329018.0,86
NS,Joalheria,272259.63,147
NS,Gastronomia,256134.6,870
NS,Casa e Decoração,216947.23,394
NS,Calçados Femininos,199772.27,209
NS,Esportes,184160.71,341
NS,Calçados,174337.08,347
NS,Beleza e Bem-estar,167186.71,540
NS,Presentes e Acessórios,71487.17,118
NS,Infantil,62978.49,211
NS,Pets,61504.96,306
NS,Ótica,33747.42,29
NS,Livrarias,32254.96,196
NS,Farmácias,15554.64,126
NS,Papelaria,15398.49,86
NS,Eletrodomésticos,12074.08,121
NS,Outros,11407.26,35
NS,Serviços,6543.0,364
NS,Lazer,1004.71,14
