segmento,valor,clientes
Moda,4848114.62,6660
Casa e Decoração,1040649.93,1511
Joalheria,875832.43,616
Beleza e Bem-estar,778055.67,2484
Infantil,592330.9400000001,1641
Calçados,586097.97,1913
Gastronomia,555272.34,2567
Esportes,542151.76,1212
Calçados Femininos,463564.18,600
Eletrônicos,379816.14,106
Pets,184657.48,906
Livrarias,167122.14,929
Farmácias,146658.87,827
Ótica,122689.44,207
Presentes e Acessórios,104505.85,238
Papelaria,86298.69,379
Outros,83880.13,245
Hub da Saúde,51522.28,17
Eletrodomésticos,45273.73,441
Serviços,18951.76,613
