loja,valor,clientes
Renner,1104255.27,2536
Cassol Centerlar,810075.8099999999,735
Vivara,666477.91,360
Riachuelo,545401.33,1625
C&A,507015.45,1631
Luz da Lua,463564.18,600
Samsung,379816.14,106
Centauro,350910.16000000003,843
Empório Du Homem,304846.43,215
Ri Happy,290979.38,958
Pittol,270815.95,905
Békko,245022.23,291
Calvin Klein e Tommy Hilfiger,229689.69,328
Fátima Criança,224118.83,665
Youcom,212583.4,548
Beagle,210522.32,415
Kings ,186530.57,217
Cobasi,184657.48,906
Arezzo,181664.27,383
Damyller,178582.25,247
