segmento,valor,clientes
Moda,402654.89,718
Casa e Decoração,78884.79,169
Gastronomia,57228.03,411
Beleza e Bem-estar,56044.66,236
Esportes,50571.78,124
Joalheria,48343.36,51
Calçados Femininos,37912.53,53
Infantil,35739.66,128
Calçados,35041.01,135
Eletrônicos,25699.1,13
Livrarias,19208.14,116
Farmácias,15530.34,112
Pets,15403.09,106
Papelaria,14303.31,48
Ótica,10573.74,15
Presentes e Acessórios,8098.6,19
Eletrodomésticos,6574.37,69
Outros,6032.87,22
Serviços,1962.0,126
Gastronomia - Sorvetes,1272.0,33
