loja,valor,clientes
Renner,82776.2,268
Riachuelo,57037.49,174
Cassol Centerlar,55977.409999999996,83
C&A,41572.36,167
Luz da Lua,37912.53,53
Vivara,37333.84,25
Centauro,31020.760000000002,85
Samsung,25699.1,13
Colcci,24296.1,17
Beagle,24133.02,52
Livraria Catarinense ,19208.14,116
Calvin Klein e Tommy Hilfiger,19034.0,24
Polo Wear,17807.15,46
FATIMA ESPORTES,17534.600000000002,40
Camicado,17268.33,45
Ri Happy,17176.86,79
Empório Du Homem,15927.880000000001,14
Damyller,15779.0,29
Arezzo,15756.45,36
Youcom,15521.91,47
