faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),2013,1255,0,13
25-39 (Millennials),12327,7680,0,24
40-54 (Gen X),11850,7566,1,7
55-69 (Boomers),3764,2408,1,2
70+ (Silent),626,377,0,1
Nao Informado,8,15,25,0
