segmento,valor,clientes,ranking,shopping,sigla
Moda,35507478.34,32909,1,Garten Shopping,GS
Joalheria,12431876.97,4298,2,Garten Shopping,GS
Calçados,7805375.56,14737,3,Garten Shopping,GS
Gastronomia,5342623.45,17069,4,Garten Shopping,GS
Esportes,4701596.86,9173,5,Garten Shopping,GS
Beleza e Bem-estar,4604149.52,9828,6,Garten Shopping,GS
Casa e Decoração,3696208.09,8207,7,Garten Shopping,GS
Serviços,3029872.29,3041,8,Garten Shopping,GS
Presentes e Acessórios,2926610.3,8902,9,Garten Shopping,GS
Telefonia,2819474.38,997,10,Garten Shopping,GS
