loja,valor,clientes,ranking,shopping,sigla
Renner,6186886.86,12074,1,Garten Shopping,GS
Vivara ,5607921.2,1792,2,Garten Shopping,GS
Bergerson,3917105.02,133,3,Garten Shopping,GS
Riachuelo,3665259.54,8457,4,Garten Shopping,GS
Centauro,3291208.5900000003,6921,5,Garten Shopping,GS
CVC,2911936.95,228,6,Garten Shopping,GS
Havan,2844496.73,6662,7,Garten Shopping,GS
C&A,2611802.15,6804,8,Garten Shopping,GS
Hering,2330558.37,5585,9,Garten Shopping,GS
Idéli Oui,2286707.99,2714,10,Garten Shopping,GS
