metrica,valor,shopping
Qtd High Spenders,4997.0,Garten Shopping
Valor Total HS,48388029.23,Garten Shopping
Ticket Medio HS,9683.415895537322,Garten Shopping
Freq Media HS,23.46587952771663,Garten Shopping
Idade Media HS,43.57897897897898,Garten Shopping
% Feminino HS,65.31919151490895,Garten Shopping
% Masculino HS,34.62077246347809,Garten Shopping
