perfil_cliente,qtd_clientes,valor_total,frequencia_media,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,pct_clientes,pct_valor
VIP,1827,4802746.7,12.250684181718665,4.587848932676519,4.791461412151067,4.553913519430761,13.933223864258347,2628.7611932129175,17.54,39.73
Premium,2581,4007174.07,4.892289810151104,3.3944207671445175,3.7702440914374273,3.7396358000774894,10.904300658659434,1552.5664742347926,24.77,33.15
Potencial,3468,2613147.56,2.4777970011534025,2.7338523644752017,2.5827566320645907,2.6790657439446366,7.9956747404844295,753.5027566320646,33.29,21.62
Pontual,2543,665635.4400000001,1.4018875344081794,1.8218639402280772,1.5001966181675186,1.5705859221392056,4.892646480534801,261.7520408965789,24.41,5.51
