shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,vip_valor_hist,vip_ticket_hist,premium_hist,premium_valor_hist,premium_ticket_hist,potencial_hist,potencial_valor_hist,potencial_ticket_hist,pontual_hist,pontual_valor_hist,pontual_ticket_hist,vip_periodo,vip_valor_periodo,vip_ticket_periodo,premium_periodo,premium_valor_periodo,premium_ticket_periodo,potencial_periodo,potencial_valor_periodo,potencial_ticket_periodo,pontual_periodo,pontual_valor_periodo,pontual_ticket_periodo,high_spenders,pct_valor
Balneário Shopping,1980,2974483.28,421.7362671244276,823,1959799.64,504.9120184402417,336,452228.32,438.165877557132,385,382478.97000000003,429.8088758241037,436,179976.35,244.942811189384,432,1813141.03,804.0040885692158,465,663498.41,477.8155259494389,452,332224.65,342.9927185142756,631,165619.19,175.1047770356954,309,24.61
Neumarkt Shopping,2284,2704596.93,389.06895687649796,907,1714216.66,495.4764017679199,429,461868.62,423.2210898749283,452,350965.08,336.6907848417138,496,177546.57,212.68209435003843,372,1470127.09,1078.9379413787997,453,632100.09,426.9004911476631,518,372985.88,297.86943407021033,941,229383.87,148.3382507701886,244,22.37
Garten Shopping,2351,2540612.35,425.54047193333906,705,1391577.17,750.396808889651,449,496781.01,418.61647625558373,561,426215.71,285.71037197268083,636,226038.46,193.66915524000822,293,1278412.68,1841.44809817818,418,579089.26,360.2385982471583,591,423937.87,272.6894169622584,1049,259172.54,142.1946399018746,195,21.02
Continente Shopping,2277,2415672.75,343.1258544421389,650,1245270.45,457.04612235772504,392,473753.55,442.6869010025686,548,437078.65,339.5485107029128,687,259570.1,181.3853594963988,302,1197720.94,1132.8496389094712,427,591130.31,399.27821297304547,513,365280.8,251.03817494038742,1035,261540.7,135.17159316925694,190,19.98
Norte Shopping,715,768694.23,488.2550210228565,217,382509.72,617.0795027081683,126,156945.7,731.9776084795029,161,151004.09,471.2116569644986,211,78234.72,223.23143366809597,101,381586.32,1850.8878446430326,137,191550.85,470.94720640577344,174,124340.64,315.25742339652686,303,71216.42,141.21488044161558,58,6.36
Nações Shopping,812,684644.23,271.72769240366773,211,354807.76,345.1735051603379,114,105791.15,340.94954073661114,174,122116.44,286.8632759639786,313,101928.88,188.5904759784057,73,286705.58,721.1180309005241,120,161785.63,415.50895862160445,195,138582.96,293.52534908054906,424,97570.06,143.63856573287825,46,5.66
