cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
151,4285.13,13,83,Neumarkt Shopping,Masculino,Gastronomia,2,5,5,12,Premium
152,1171.48,15,4,Garten Shopping,Feminino,Gastronomia,5,5,4,14,VIP
164,763.62,6,7,Nações Shopping,Feminino,Gastronomia,5,4,4,13,VIP
168,3233.38,40,3,Continente Shopping,Feminino,Gastronomia,5,5,5,15,VIP
169,1402.03,20,3,Continente Shopping,Masculino,Gastronomia,5,5,4,14,VIP
170,498.7,2,46,Nações Shopping,Masculino,Moda,4,2,3,9,Potencial
195,1628.53,12,17,Continente Shopping,Feminino,Beleza e Bem-estar,5,5,5,15,VIP
235,538.83,7,15,Continente Shopping,Masculino,Gastronomia,5,4,3,12,Premium
241,4749.7,5,24,Balneário Shopping,Feminino,Moda,5,4,5,14,VIP
266,1343.02,17,4,Norte Shopping,Feminino,Livrarias,5,5,4,14,VIP
272,1989.26,18,2,Norte Shopping,Feminino,Calçados,5,5,5,15,VIP
277,2078.4900000000002,5,22,Neumarkt Shopping,Feminino,Casa e Decoração,5,4,5,14,VIP
281,1032.81,2,56,Balneário Shopping,Feminino,Beleza e Bem-estar,4,2,3,9,Potencial
288,90.86,1,72,Continente Shopping,Feminino,Casa e Decoração,3,1,1,5,Pontual
295,313.28,5,37,Nações Shopping,Feminino,Casa e Decoração,4,4,2,10,Premium
310,403.98,2,63,Continente Shopping,Feminino,Esportes,4,2,2,8,Potencial
375,870.55,19,3,Garten Shopping,Feminino,Gastronomia,5,5,4,14,VIP
382,8029.18,41,0,Balneário Shopping,Feminino,Gastronomia,5,5,5,15,VIP
424,792.19,4,14,Continente Shopping,Masculino,Eletrodomésticos,5,3,4,12,Premium
568,2592.6,19,3,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
601,73.89,2,14,Continente Shopping,Masculino,Gastronomia,5,2,1,8,Potencial
610,926.72,11,3,Neumarkt Shopping,Masculino,Gastronomia,5,5,4,14,VIP
614,4324.98,1,78,Continente Shopping,Feminino,Ótica,2,1,5,8,Potencial
617,1.0,1,13,Garten Shopping,Feminino,Presentes e Acessórios,5,1,1,7,Potencial
649,429.9,12,16,Continente Shopping,Masculino,Gastronomia,5,5,2,12,Premium
718,579.6,1,76,Garten Shopping,Masculino,Moda,3,1,3,7,Potencial
741,91.13,4,88,Continente Shopping,Feminino,Eletrodomésticos,1,3,1,5,Pontual
770,73.97,1,9,Norte Shopping,Masculino,Supermercado,5,1,1,7,Potencial
1007,2849.5,2,51,Neumarkt Shopping,Feminino,Moda Feminina,4,2,5,11,Premium
1115,329.33000000000004,4,56,Nações Shopping,Feminino,Pets,4,4,2,10,Premium
1167,636.6,8,34,Nações Shopping,Feminino,Gastronomia,5,5,4,14,VIP
1178,1966.95,8,81,Neumarkt Shopping,Feminino,Gastronomia,2,5,5,12,Premium
1213,391.8,5,21,Continente Shopping,Feminino,Gastronomia,5,4,2,11,Premium
1355,628.5699999999999,4,0,Norte Shopping,Masculino,Calçados,5,4,3,12,Premium
1392,279.47,2,78,Norte Shopping,Feminino,Casa e Decoração,2,2,2,6,Pontual
1397,599.93,1,82,Continente Shopping,Feminino,Esportes,2,1,3,6,Pontual
1423,2515.9,6,89,Balneário Shopping,Masculino,Moda,1,4,5,10,Premium
1449,2933.8,6,0,Garten Shopping,Masculino,Moda,5,4,5,14,VIP
1454,317.7,2,79,Garten Shopping,Feminino,Gastronomia,2,2,2,6,Pontual
1533,1273.45,8,12,Continente Shopping,Feminino,Moda,5,5,4,14,VIP
1574,86.0,1,85,Garten Shopping,Feminino,Gastronomia,1,1,1,3,Pontual
1597,268.99,2,67,Neumarkt Shopping,Feminino,Esportes,4,2,2,8,Potencial
1647,271.88,4,77,Neumarkt Shopping,Feminino,Gastronomia,3,3,2,8,Potencial
1697,85.17,2,34,Continente Shopping,Masculino,Beleza e Bem-estar,5,2,1,8,Potencial
1738,309.0,2,77,Balneário Shopping,Feminino,Gastronomia,2,2,1,5,Pontual
1755,823.05,8,26,Garten Shopping,Masculino,Moda,5,5,4,14,VIP
1775,1022.3900000000001,7,65,Continente Shopping,Masculino,Calçados,4,4,4,12,Premium
1832,68.92,1,40,Balneário Shopping,Feminino,Supermercado,5,1,1,7,Potencial
1845,259.79,3,89,Garten Shopping,Feminino,Moda,1,3,2,6,Pontual
1896,148.6,3,13,Nações Shopping,Masculino,Gastronomia,5,3,1,9,Potencial
1916,319.6,2,26,Garten Shopping,Feminino,Moda,5,2,2,9,Potencial
1919,3422.6,5,70,Garten Shopping,Feminino,Gastronomia,3,4,5,12,Premium
2025,992.66,10,63,Nações Shopping,Masculino,Gastronomia,4,5,4,13,VIP
2031,536.0,1,88,Continente Shopping,Feminino,Moda,1,1,3,5,Pontual
2035,1067.81,10,23,Garten Shopping,Masculino,Gastronomia,5,5,4,14,VIP
2209,1691.67,7,88,Balneário Shopping,Feminino,Moda,1,5,4,10,Premium
2210,684.72,6,78,Continente Shopping,Masculino,Moda,2,4,3,9,Potencial
2213,83.78999999999999,3,11,Neumarkt Shopping,Masculino,Eletrodomésticos,5,3,1,9,Potencial
2234,798.9,9,15,Neumarkt Shopping,Masculino,Gastronomia,5,5,3,13,VIP
2254,1170.22,5,35,Garten Shopping,Feminino,Casa e Decoração,5,4,4,13,VIP
2274,399.7,2,69,Continente Shopping,Feminino,Calçados,3,2,2,7,Potencial
2374,26427.32,83,8,Neumarkt Shopping,Masculino,Gastronomia,5,5,5,15,VIP
2454,116.0,1,85,Neumarkt Shopping,Masculino,Papelaria,1,1,1,3,Pontual
2518,1968.8,5,58,Neumarkt Shopping,Feminino,Moda,4,4,5,13,VIP
2542,581.45,2,86,Neumarkt Shopping,Masculino,Beleza e Bem-estar,1,2,3,6,Pontual
2588,143.9,2,45,Continente Shopping,Masculino,Gastronomia,4,2,1,7,Potencial
2691,419.6,3,85,Garten Shopping,Feminino,Eletrônicos,1,3,2,6,Pontual
2823,1964.1,10,87,Continente Shopping,Feminino,Moda,1,5,5,11,Premium
2866,89.9,1,78,Garten Shopping,Masculino,Eletrônicos,2,1,1,4,Pontual
2945,1137.6,10,30,Garten Shopping,Feminino,Gastronomia,5,5,4,14,VIP
3036,609.01,3,13,Balneário Shopping,Masculino,Infantil,5,3,2,10,Premium
3053,3899.5,1,59,Continente Shopping,Masculino,Moda,4,1,5,10,Premium
3228,549.9,1,72,Neumarkt Shopping,Feminino,Casa e Decoração,3,1,3,7,Potencial
3307,295.97,8,15,Norte Shopping,Feminino,Papelaria,5,5,2,12,Premium
3385,716.7,2,85,Balneário Shopping,Feminino,Beleza e Bem-estar,1,2,3,6,Pontual
3397,1247.8,2,86,Nações Shopping,Feminino,Moda,1,2,5,8,Potencial
3405,657.4,14,48,Norte Shopping,Feminino,Gastronomia,4,5,3,12,Premium
3439,2725.02,11,81,Neumarkt Shopping,Masculino,Casa e Decoração,2,5,5,12,Premium
3453,402.48,3,75,Nações Shopping,Feminino,Esportes,2,3,3,8,Potencial
3530,74.8,2,62,Continente Shopping,Masculino,Gastronomia,4,2,1,7,Potencial
3544,1172.92,1,81,Nações Shopping,Masculino,Moda,2,1,5,8,Potencial
3596,810.49,10,21,Garten Shopping,Feminino,Moda,5,5,4,14,VIP
3639,883.0799999999999,6,80,Continente Shopping,Feminino,Moda,2,4,4,10,Premium
3801,884.6899999999999,6,16,Garten Shopping,Feminino,Gastronomia,5,4,4,13,VIP
3828,1833.71,18,0,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
3927,439.98,1,79,Neumarkt Shopping,Feminino,Esportes,2,1,2,5,Pontual
3972,239.57999999999998,2,45,Neumarkt Shopping,Masculino,Eletrodomésticos,5,2,2,9,Potencial
3992,565.47,5,15,Garten Shopping,Masculino,Gastronomia,5,4,3,12,Premium
4061,1792.6,2,55,Nações Shopping,Feminino,Beleza e Bem-estar,4,2,5,11,Premium
4141,3824.24,7,32,Continente Shopping,Feminino,Gastronomia,5,4,5,14,VIP
4170,1008.96,4,82,Continente Shopping,Feminino,Moda,2,3,4,9,Potencial
4250,5425.31,8,75,Neumarkt Shopping,Masculino,Gastronomia,3,5,5,13,VIP
4300,841.45,4,87,Nações Shopping,Feminino,Casa e Decoração,1,4,4,9,Potencial
4329,1204.27,3,70,Neumarkt Shopping,Masculino,Casa e Decoração,3,3,4,10,Premium
4339,2489.74,12,72,Neumarkt Shopping,Feminino,Gastronomia,3,5,5,13,VIP
4356,2469.29,5,89,Balneário Shopping,Feminino,Moda,1,4,5,10,Premium
4407,958.74,2,81,Neumarkt Shopping,Masculino,Moda,2,2,4,8,Potencial
4430,1549.28,6,1,Continente Shopping,Feminino,Moda,5,4,5,14,VIP
4466,95.6,1,59,Neumarkt Shopping,Feminino,Livrarias,4,1,1,6,Pontual
4623,3498.2400000000002,27,4,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
4624,325.8,4,86,Nações Shopping,Feminino,Gastronomia,1,4,2,7,Potencial
4682,1267.6499999999999,20,6,Nações Shopping,Feminino,Gastronomia,5,5,5,15,VIP
4683,354.4,3,10,Continente Shopping,Feminino,Farmácias,5,3,2,10,Premium
4725,208.27,3,31,Norte Shopping,Feminino,Eletrodomésticos,5,3,2,10,Premium
4866,567.46,7,19,Continente Shopping,Feminino,Moda,5,4,3,12,Premium
4898,657.98,3,50,Balneário Shopping,Feminino,Casa e Decoração,4,3,2,9,Potencial
4921,1160.87,3,73,Neumarkt Shopping,Feminino,Moda Feminina,3,3,4,10,Premium
4989,1559.81,24,5,Nações Shopping,Masculino,Gastronomia,5,5,5,15,VIP
5093,334.6,1,89,Balneário Shopping,Masculino,Casa e Decoração,1,1,2,4,Pontual
5097,3295.4700000000003,29,8,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
5114,1338.38,16,10,Nações Shopping,Feminino,Moda,5,5,5,15,VIP
5191,1048.6,6,81,Continente Shopping,Feminino,Moda,2,4,4,10,Premium
5233,135.4,2,35,Continente Shopping,Feminino,Gastronomia,5,2,1,8,Potencial
5266,1709.1200000000001,13,12,Continente Shopping,Masculino,Moda,5,5,5,15,VIP
5322,2174.26,33,5,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
5410,321.45,5,70,Continente Shopping,Feminino,Papelaria,3,4,2,9,Potencial
5529,682.91,10,55,Neumarkt Shopping,Feminino,Gastronomia,4,5,3,12,Premium
5685,996.8700000000001,7,34,Continente Shopping,Feminino,Eletrodomésticos,5,4,4,13,VIP
5699,467.76,3,66,Neumarkt Shopping,Feminino,Moda,4,3,2,9,Potencial
5721,339.95,1,89,Continente Shopping,Feminino,Moda,1,1,2,4,Pontual
5737,759.1600000000001,5,65,Nações Shopping,Masculino,Moda,3,4,4,11,Premium
5744,1306.24,5,46,Neumarkt Shopping,Feminino,Joalheria,5,4,4,13,VIP
5844,179.17000000000002,3,46,Continente Shopping,Feminino,Gastronomia,4,3,1,8,Potencial
5852,652.69,5,29,Continente Shopping,Feminino,Pets,5,4,3,12,Premium
5864,272.71,2,42,Nações Shopping,Masculino,Gastronomia,4,2,2,8,Potencial
5923,451.05,7,47,Continente Shopping,Feminino,Gastronomia,4,4,3,11,Premium
5973,269.99,1,84,Continente Shopping,Masculino,Infantil,2,1,2,5,Pontual
6121,39.0,1,36,Nações Shopping,Masculino,Gastronomia,4,1,1,6,Pontual
6122,1225.88,15,22,Norte Shopping,Masculino,Gastronomia,5,5,4,14,VIP
6131,1237.45,13,84,Balneário Shopping,Feminino,Gastronomia,2,5,4,11,Premium
6194,4431.72,19,28,Continente Shopping,Feminino,Papelaria,5,5,5,15,VIP
6206,1560.0,1,76,Neumarkt Shopping,Masculino,Joalheria,3,1,4,8,Potencial
6270,151.12,2,38,Neumarkt Shopping,Feminino,Infantil,5,2,1,8,Potencial
6428,189.51,1,69,Continente Shopping,Masculino,Gastronomia,3,1,1,5,Pontual
6460,1270.8700000000001,6,56,Garten Shopping,Feminino,Moda,5,4,4,13,VIP
6652,418.76,4,86,Balneário Shopping,Masculino,Moda,1,3,2,6,Pontual
6706,1798.54,4,41,Neumarkt Shopping,Feminino,Esportes,5,3,5,13,VIP
6775,476.2,3,49,Continente Shopping,Feminino,Casa e Decoração,4,3,3,10,Premium
7029,955.1800000000001,5,60,Neumarkt Shopping,Feminino,Calçados,4,4,4,12,Premium
7063,245.32999999999998,7,63,Nações Shopping,Feminino,Gastronomia,4,5,2,11,Premium
7436,450.15,8,65,Continente Shopping,Feminino,Gastronomia,4,5,3,12,Premium
7640,159.8,1,6,Nações Shopping,Feminino,Moda,5,1,1,7,Potencial
7773,108.65,3,41,Continente Shopping,Masculino,Livrarias,4,3,1,8,Potencial
7779,2184.58,5,43,Continente Shopping,Feminino,Infantil,4,4,5,13,VIP
7789,2248.56,20,4,Continente Shopping,Masculino,Gastronomia,5,5,5,15,VIP
7806,320.0,1,61,Nações Shopping,Feminino,Moda,4,1,2,7,Potencial
7808,326.83000000000004,2,70,Neumarkt Shopping,Masculino,Gastronomia,3,2,2,7,Potencial
7809,674.96,1,88,Norte Shopping,Masculino,Moda,1,1,3,5,Pontual
7928,193.9,1,11,Nações Shopping,Feminino,Pets,5,1,2,8,Potencial
8001,4443.13,52,3,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
8396,95.0,1,69,Norte Shopping,Feminino,Joalheria,3,1,1,5,Pontual
8604,449.33,4,85,Continente Shopping,Feminino,Moda,2,3,3,8,Potencial
8606,1999.3,2,75,Norte Shopping,Feminino,Joalheria,3,2,5,10,Premium
8723,2292.39,10,2,Neumarkt Shopping,Masculino,Moda,5,5,5,15,VIP
8729,111.8,2,80,Garten Shopping,Feminino,Moda,2,2,1,5,Pontual
8849,5681.76,15,53,Nações Shopping,Feminino,Gastronomia,4,5,5,14,VIP
8859,4335.84,24,3,Continente Shopping,Feminino,Gastronomia,5,5,5,15,VIP
8892,119.9,1,86,Balneário Shopping,Feminino,Presentes e Acessórios,1,1,1,3,Pontual
8920,2706.12,21,2,Nações Shopping,Feminino,Beleza e Bem-estar,5,5,5,15,VIP
9000,2428.75,12,25,Neumarkt Shopping,Feminino,Moda,5,5,5,15,VIP
9046,9.9,1,12,Nações Shopping,Masculino,Gastronomia,5,1,1,7,Potencial
9129,5343.76,68,2,Continente Shopping,Masculino,Gastronomia,5,5,5,15,VIP
9156,2022.15,12,8,Continente Shopping,Feminino,Livrarias,5,5,5,15,VIP
9191,204.99,2,22,Norte Shopping,Feminino,Joalheria,5,2,2,9,Potencial
9260,261.53,4,1,Continente Shopping,Feminino,Eletrodomésticos,5,3,2,10,Premium
9424,2015.03,8,1,Continente Shopping,Feminino,Infantil,5,5,5,15,VIP
9497,2999.5099999999998,18,1,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
9512,8117.82,15,6,Nações Shopping,Feminino,Moda,5,5,5,15,VIP
9529,464.59000000000003,2,84,Nações Shopping,Feminino,Beleza e Bem-estar,1,2,3,6,Pontual
9547,1255.1,2,81,Neumarkt Shopping,Feminino,Livrarias,2,2,4,8,Potencial
9550,507.4,4,2,Garten Shopping,Masculino,Gastronomia,5,3,3,11,Premium
9572,101.94,1,72,Neumarkt Shopping,Masculino,Infantil,3,1,1,5,Pontual
9627,51.8,2,86,Continente Shopping,Feminino,Gastronomia,1,2,1,4,Pontual
9785,768.82,4,74,Neumarkt Shopping,Masculino,Calçados,3,3,3,9,Potencial
9807,837.5,1,59,Balneário Shopping,Masculino,Moda,4,1,3,8,Potencial
9816,1666.5,2,80,Balneário Shopping,Feminino,Moda,2,2,4,8,Potencial
9944,899.98,1,88,Continente Shopping,Masculino,Infantil,1,1,4,6,Pontual
10059,11011.25,32,8,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
