quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,47.60000000000002,1.0,235.45800000000006,Neumarkt Shopping
40%,67.0,2.0,487.3980000000001,Neumarkt Shopping
60%,77.0,4.0,881.4559999999999,Neumarkt Shopping
80%,84.0,6.400000000000091,1699.6060000000002,Neumarkt Shopping
20%,56.0,1.0,212.98,Garten Shopping
40%,67.0,2.0,449.97,Garten Shopping
60%,76.0,4.0,749.09,Garten Shopping
80%,84.0,6.0,1391.9,Garten Shopping
20%,35.0,1.0,160.61000000000007,Nações Shopping
40%,63.0,2.0,361.5360000000001,Nações Shopping
60%,73.0,3.0,625.428,Nações Shopping
80%,83.0,6.0,1116.3880000000006,Nações Shopping
20%,36.0,1.0,219.982,Continente Shopping
40%,65.0,2.0,432.534,Continente Shopping
60%,77.0,4.0,766.3799999999999,Continente Shopping
80%,85.0,7.0,1476.902000000001,Continente Shopping
20%,44.0,1.0,329.968,Balneário Shopping
40%,66.0,2.0,659.0,Balneário Shopping
60%,75.0,4.0,1140.758,Balneário Shopping
80%,84.0,6.0,2150.7540000000004,Balneário Shopping
20%,40.0,1.0,203.14800000000002,Norte Shopping
40%,64.60000000000002,2.0,467.6840000000001,Norte Shopping
60%,76.0,3.0,819.644,Norte Shopping
80%,83.0,6.0,1557.718,Norte Shopping
