shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Continente Shopping,VIP,9,Infantil,43428.16,4.09,167,108
Continente Shopping,VIP,10,Eletrodomésticos,39856.31,3.76,251,126
Garten Shopping,Pontual,1,Moda,86379.68000000001,43.14,425,294
Garten Shopping,Pontual,2,Gastronomia,22054.55,11.01,409,216
Garten Shopping,Pontual,3,Esportes,21124.0,10.55,84,75
Garten Shopping,Pontual,4,Calçados,15740.17,7.86,86,74
Garten Shopping,Pontual,5,Casa e Decoração,14541.17,7.26,102,86
Garten Shopping,Pontual,6,Presentes e Acessórios,10816.83,5.4,57,50
Garten Shopping,Pontual,7,Beleza e Bem-estar,9483.56,4.74,58,54
Garten Shopping,Pontual,8,Infantil,7493.23,3.74,45,42
Garten Shopping,Pontual,9,Joalheria,6802.5,3.4,14,14
Garten Shopping,Pontual,10,Livrarias,5803.65,2.9,72,60
Garten Shopping,Potencial,1,Moda,174232.38,46.13,606,335
Garten Shopping,Potencial,2,Calçados,34689.77,9.18,115,105
Garten Shopping,Potencial,3,Gastronomia,31158.72,8.25,570,224
Garten Shopping,Potencial,4,Casa e Decoração,26335.7,6.97,133,94
Garten Shopping,Potencial,5,Esportes,24035.63,6.36,78,69
Garten Shopping,Potencial,6,Beleza e Bem-estar,22517.71,5.96,93,76
Garten Shopping,Potencial,7,Joalheria,21856.5,5.79,35,29
Garten Shopping,Potencial,8,Presentes e Acessórios,16266.06,4.31,90,64
Garten Shopping,Potencial,9,Infantil,13366.81,3.54,58,52
Garten Shopping,Potencial,10,Moda Feminina,13274.470000000001,3.51,20,19
Garten Shopping,Premium,1,Moda,183294.57,43.09,559,282
Garten Shopping,Premium,2,Casa e Decoração,38624.38,9.08,120,85
Garten Shopping,Premium,3,Telefonia,32508.5,7.64,13,13
Garten Shopping,Premium,4,Esportes,29579.29,6.95,87,74
Garten Shopping,Premium,5,Beleza e Bem-estar,28033.64,6.59,87,60
Garten Shopping,Premium,6,Gastronomia,26320.0,6.19,492,201
Garten Shopping,Premium,7,Calçados,25184.68,5.92,99,81
Garten Shopping,Premium,8,Joalheria,24066.1,5.66,20,19
Garten Shopping,Premium,9,Moda Feminina,23322.36,5.48,31,25
Garten Shopping,Premium,10,Ótica,14401.68,3.39,14,14
Garten Shopping,VIP,1,Moda,388098.05,32.45,1137,460
Garten Shopping,VIP,2,Joalheria,282899.42,23.65,86,73
Garten Shopping,VIP,3,Telefonia,104762.66,8.76,35,30
Garten Shopping,VIP,4,Serviços,91065.5,7.61,6,6
Garten Shopping,VIP,5,Gastronomia,83544.95,6.98,1485,395
Garten Shopping,VIP,6,Casa e Decoração,60351.12,5.05,240,156
Garten Shopping,VIP,7,Calçados,56466.29,4.72,196,146
Garten Shopping,VIP,8,Beleza e Bem-estar,48952.23,4.09,199,159
Garten Shopping,VIP,9,Esportes,44153.35,3.69,130,103
Garten Shopping,VIP,10,Moda Feminina,35768.85,2.99,60,45
Nações Shopping,Pontual,1,Moda,45141.96,46.67,209,155
Nações Shopping,Pontual,2,Beleza e Bem-estar,10257.3,10.6,74,61
Nações Shopping,Pontual,3,Gastronomia,8058.62,8.33,144,82
Nações Shopping,Pontual,4,Papelaria,7205.46,7.45,29,25
Nações Shopping,Pontual,5,Calçados,5451.6,5.64,28,27
Nações Shopping,Pontual,6,Calçados Femininos,5304.0,5.48,12,11
Nações Shopping,Pontual,7,Esportes,4896.46,5.06,25,20
Nações Shopping,Pontual,8,Casa e Decoração,4651.3099999999995,4.81,38,30
Nações Shopping,Pontual,9,Infantil,3240.29,3.35,19,16
Nações Shopping,Pontual,10,Livrarias,2519.2,2.6,29,25
Nações Shopping,Potencial,1,Moda,56679.75,50.22,195,110
Nações Shopping,Potencial,2,Gastronomia,9630.29,8.53,196,58
Nações Shopping,Potencial,3,Esportes,8395.11,7.44,23,20
Nações Shopping,Potencial,4,Casa e Decoração,8049.43,7.13,59,38
Nações Shopping,Potencial,5,Papelaria,6908.35,6.12,16,14
Nações Shopping,Potencial,6,Calçados Femininos,6808.3,6.03,12,9
Nações Shopping,Potencial,7,Beleza e Bem-estar,5446.06,4.83,45,39
Nações Shopping,Potencial,8,Calçados,4098.12,3.63,23,23
Nações Shopping,Potencial,9,Joalheria,3528.9,3.13,7,5
Nações Shopping,Potencial,10,Livrarias,3325.18,2.95,29,22
Nações Shopping,Premium,1,Moda,41665.7,42.35,136,69
Nações Shopping,Premium,2,Casa e Decoração,14390.86,14.63,27,22
Nações Shopping,Premium,3,Beleza e Bem-estar,7045.39,7.16,44,35
Nações Shopping,Premium,4,Eletrônicos,6587.45,6.7,4,3
Nações Shopping,Premium,5,Gastronomia,6394.38,6.5,165,45
Nações Shopping,Premium,6,Calçados Femininos,5735.2,5.83,11,10
Nações Shopping,Premium,7,Esportes,5116.58,5.2,18,15
Nações Shopping,Premium,8,Papelaria,4326.6,4.4,10,9
Nações Shopping,Premium,9,Calçados,3765.39,3.83,16,15
Nações Shopping,Premium,10,Joalheria,3349.3199999999997,3.4,6,6
Nações Shopping,VIP,1,Moda,155625.33,47.98,350,142
Nações Shopping,VIP,2,Casa e Decoração,33037.86,10.19,93,48
Nações Shopping,VIP,3,Eletrônicos,26584.92,8.2,10,9
Nações Shopping,VIP,4,Esportes,22466.65,6.93,58,41
Nações Shopping,VIP,5,Gastronomia,19953.39,6.15,432,96
Nações Shopping,VIP,6,Calçados Femininos,16781.47,5.17,27,24
Nações Shopping,VIP,7,Beleza e Bem-estar,16305.89,5.03,129,72
Nações Shopping,VIP,8,Papelaria,15248.44,4.7,42,31
Nações Shopping,VIP,9,Calçados,10171.789999999999,3.14,44,34
Nações Shopping,VIP,10,Infantil,8168.96,2.52,54,39
Neumarkt Shopping,Pontual,1,Moda,66543.34,44.62,290,217
Neumarkt Shopping,Pontual,2,Casa e Decoração,16117.78,10.81,98,84
Neumarkt Shopping,Pontual,3,Esportes,11978.24,8.03,43,41
Neumarkt Shopping,Pontual,4,Calçados,11407.9,7.65,54,51
Neumarkt Shopping,Pontual,5,Beleza e Bem-estar,10705.51,7.18,70,60
Neumarkt Shopping,Pontual,6,Gastronomia,9981.47,6.69,204,122
Neumarkt Shopping,Pontual,7,Presentes e Acessórios,7626.33,5.11,27,26
Neumarkt Shopping,Pontual,8,Livrarias,5047.53,3.38,55,46
Neumarkt Shopping,Pontual,9,Papelaria,4933.27,3.31,37,33
Neumarkt Shopping,Pontual,10,Joalheria,4801.4,3.22,13,12
Neumarkt Shopping,Potencial,1,Moda,127113.63,43.94,413,244
Neumarkt Shopping,Potencial,2,Casa e Decoração,27976.46,9.67,111,87
Neumarkt Shopping,Potencial,3,Calçados,23807.28,8.23,106,85
Neumarkt Shopping,Potencial,4,Presentes e Acessórios,17439.1,6.03,47,42
Neumarkt Shopping,Potencial,5,Joalheria,17086.15,5.91,29,28
Neumarkt Shopping,Potencial,6,Beleza e Bem-estar,16821.41,5.82,81,68
Neumarkt Shopping,Potencial,7,Gastronomia,16575.06,5.73,312,137
Neumarkt Shopping,Potencial,8,Esportes,15204.79,5.26,48,46
Neumarkt Shopping,Potencial,9,Ótica,13891.06,4.8,12,12
Neumarkt Shopping,Potencial,10,Papelaria,13343.43,4.61,82,66
Neumarkt Shopping,Premium,1,Moda,134300.39,36.39,404,227
Neumarkt Shopping,Premium,2,Presentes e Acessórios,48679.83,13.19,46,41
Neumarkt Shopping,Premium,3,Joalheria,42699.38,11.57,40,37
Neumarkt Shopping,Premium,4,Casa e Decoração,26817.52,7.27,114,89
Neumarkt Shopping,Premium,5,Beleza e Bem-estar,24019.71,6.51,130,107
Neumarkt Shopping,Premium,6,Esportes,21298.2,5.77,71,57
Neumarkt Shopping,Premium,7,Calçados,19359.59,5.25,94,78
Neumarkt Shopping,Premium,8,Gastronomia,18484.83,5.01,283,142
Neumarkt Shopping,Premium,9,Moda Feminina,17021.27,4.61,29,25
Neumarkt Shopping,Premium,10,Ótica,16328.66,4.42,13,11
Neumarkt Shopping,VIP,1,Moda,495818.04,36.79,1294,599
Neumarkt Shopping,VIP,2,Joalheria,185563.73,13.77,130,103
Neumarkt Shopping,VIP,3,Gastronomia,109987.83,8.16,1763,437
Neumarkt Shopping,VIP,4,Eletrônicos,108498.57,8.05,51,43
Neumarkt Shopping,VIP,5,Ótica,85064.12,6.31,35,31
Neumarkt Shopping,VIP,6,Casa e Decoração,82879.76,6.15,397,256
Neumarkt Shopping,VIP,7,Beleza e Bem-estar,79422.51,5.89,381,238
Neumarkt Shopping,VIP,8,Moda Feminina,73202.84,5.43,122,95
Neumarkt Shopping,VIP,9,Calçados,71007.92,5.27,238,171
Neumarkt Shopping,VIP,10,Presentes e Acessórios,56225.11,4.17,124,106
Norte Shopping,Pontual,1,Moda,21830.190000000002,30.76,92,72
Norte Shopping,Pontual,2,Eletrodomésticos,10916.9,15.38,47,42
Norte Shopping,Pontual,3,Papelaria,7273.69,10.25,40,34
Norte Shopping,Pontual,4,Esportes,6380.530000000001,8.99,23,21
Norte Shopping,Pontual,5,Calçados,5850.610000000001,8.24,32,26
Norte Shopping,Pontual,6,Casa e Decoração,4995.79,7.04,26,22
Norte Shopping,Pontual,7,Gastronomia,4838.35,6.82,94,51
Norte Shopping,Pontual,8,Supermercado,4646.23,6.55,50,29
Norte Shopping,Pontual,9,Joalheria,2168.0,3.06,13,11
Norte Shopping,Pontual,10,Infantil,2060.79,2.9,8,7
Norte Shopping,Potencial,1,Moda,38412.12,28.21,129,78
Norte Shopping,Potencial,2,Eletrodomésticos,21306.76,15.65,42,31
Norte Shopping,Potencial,3,Eletrônicos,14783.7,10.86,14,12
Norte Shopping,Potencial,4,Casa e Decoração,12273.53,9.01,42,36
Norte Shopping,Potencial,5,Supermercado,11179.1,8.21,59,31
Norte Shopping,Potencial,6,Papelaria,10501.7,7.71,33,31
Norte Shopping,Potencial,7,Telefonia,8472.0,6.22,5,5
Norte Shopping,Potencial,8,Esportes,8129.5,5.97,18,17
Norte Shopping,Potencial,9,Joalheria,5627.0,4.13,9,8
Norte Shopping,Potencial,10,Calçados,5475.38,4.02,23,18
Norte Shopping,Premium,1,Eletrodomésticos,38452.22,25.7,40,26
Norte Shopping,Premium,2,Moda,36401.07,24.33,91,63
Norte Shopping,Premium,3,Eletrônicos,21277.9,14.22,14,12
Norte Shopping,Premium,4,Joalheria,12778.0,8.54,17,12
Norte Shopping,Premium,5,Casa e Decoração,10254.22,6.85,34,28
Norte Shopping,Premium,6,Supermercado,7740.96,5.17,53,25
Norte Shopping,Premium,7,Telefonia,7113.0,4.75,3,3
Norte Shopping,Premium,8,Beleza e Bem-estar,5728.74,3.83,29,20
Norte Shopping,Premium,9,Papelaria,5056.43,3.38,25,18
Norte Shopping,Premium,10,Esportes,4819.61,3.22,22,21
Norte Shopping,VIP,1,Moda,72227.3,18.6,261,141
Norte Shopping,VIP,2,Eletrônicos,63998.24,16.48,20,19
Norte Shopping,VIP,3,Joalheria,40846.53,10.52,49,33
Norte Shopping,VIP,4,Eletrodomésticos,40580.73,10.45,132,79
Norte Shopping,VIP,5,Telefonia,36399.36,9.37,10,7
Norte Shopping,VIP,6,Casa e Decoração,35981.5,9.27,130,82
Norte Shopping,VIP,7,Supermercado,33821.83,8.71,219,93
Norte Shopping,VIP,8,Gastronomia,24267.76,6.25,483,133
Norte Shopping,VIP,9,Calçados,20575.0,5.3,103,51
Norte Shopping,VIP,10,Esportes,19651.27,5.06,67,46
